timestamp,user_id,action,auction_id,player_id,team_id,price,previous_value,new_value
"2026-08-31 09:35:20",0,REGISTER,,,,,,admin
"2026-08-31 09:35:20",0,ACTIVATE_USER,,,,,,1
"2026-08-31 09:35:20",0,CREATE_AUCTION,1,,,,,"Asta Demo Fantacalcio 2026"
"2026-08-31 09:35:20",0,IMPORT_PLAYERS,,,,,,"50 giocatori"
"2026-08-31 09:35:21",0,REGISTER,,,,,,user1
"2026-08-31 09:35:21",0,CREATE_TEAM,,,1,,,"Fantateam 1"
"2026-08-31 09:35:21",0,JOIN_AUCTION,1,,1,,,
"2026-08-31 09:35:21",0,REGISTER,,,,,,user2
"2026-08-31 09:35:21",0,CREATE_TEAM,,,2,,,"Fantateam 2"
"2026-08-31 09:35:21",0,JOIN_AUCTION,1,,2,,,
"2026-08-31 09:35:21",0,REGISTER,,,,,,user3
"2026-08-31 09:35:21",0,CREATE_TEAM,,,3,,,"Fantateam 3"
"2026-08-31 09:35:21",0,JOIN_AUCTION,1,,3,,,
"2026-08-31 09:35:21",0,REGISTER,,,,,,user4
"2026-08-31 09:35:21",0,CREATE_TEAM,,,4,,,"Fantateam 4"
"2026-08-31 09:35:21",0,JOIN_AUCTION,1,,4,,,
"2026-08-31 09:35:22",0,REGISTER,,,,,,user5
"2026-08-31 09:35:22",0,CREATE_TEAM,,,5,,,"Fantateam 5"
"2026-08-31 09:35:22",0,JOIN_AUCTION,1,,5,,,
"2026-08-31 09:35:22",0,REGISTER,,,,,,user6
"2026-08-31 09:35:22",0,CREATE_TEAM,,,6,,,"Fantateam 6"
"2026-08-31 09:35:22",0,JOIN_AUCTION,1,,6,,,
"2026-08-31 09:35:22",0,REGISTER,,,,,,user7
"2026-08-31 09:35:22",0,CREATE_TEAM,,,7,,,"Fantateam 7"
"2026-08-31 09:35:22",0,JOIN_AUCTION,1,,7,,,
"2026-08-31 09:35:22",0,REGISTER,,,,,,user8
"2026-08-31 09:35:22",0,CREATE_TEAM,,,8,,,"Fantateam 8"
"2026-08-31 09:35:22",0,JOIN_AUCTION,1,,8,,,
"2026-08-31 09:35:23",0,REGISTER,,,,,,user9
"2026-08-31 09:35:23",0,CREATE_TEAM,,,9,,,"Fantateam 9"
"2026-08-31 09:35:23",0,JOIN_AUCTION,1,,9,,,
"2026-08-31 09:35:23",0,REGISTER,,,,,,user10
"2026-08-31 09:35:23",0,CREATE_TEAM,,,10,,,"Fantateam 10"
"2026-08-31 09:35:23",0,JOIN_AUCTION,1,,10,,,
"2026-08-31 09:36:59",1,LOGIN,,,,,,admin
"2026-08-31 09:37:36",1,LOGIN,,,,,,admin
